fecha;tasa_usd_ars;tipo
19/06/24;1291.63;CCL
18/06/24;1263.97;CCL
14/06/24;1267.39;CCL
13/06/24;1274.41;CCL
12/06/24;1301.69;CCL
11/06/24;1305.74;CCL
10/06/24;1307.44;CCL
07/06/24;1307.44;CCL
06/06/24;1297.19;CCL
05/06/24;1296.88;CCL
04/06/24;1311.19;CCL
03/06/24;1293.47;CCL
31/05/24;1297.47;CCL
30/05/24;1247.42;CCL
29/05/24;1214.74;CCL
28/05/24;1233.75;CCL
27/05/24;1244.56;CCL
24/05/24;1234.76;CCL
23/05/24;1256.24;CCL
22/05/24;1256.19;CCL
21/05/24;1196.31;CCL
20/05/24;1142.72;CCL
17/05/24;1103.69;CCL
16/05/24;1099.3;CCL
15/05/24;1092.63;CCL
14/05/24;1084.51;CCL
13/05/24;1075.73;CCL
10/05/24;1078.41;CCL
09/05/24;1083.85;CCL
08/05/24;1076.45;CCL
07/05/24;1094.7;CCL
06/05/24;1108.66;CCL
03/05/24;1121.12;CCL
02/05/24;1120.38;CCL
30/04/24;1091.95;CCL
29/04/24;1087.31;CCL
26/04/24;1083;CCL
25/04/24;1081.23;CCL
24/04/24;1053.98;CCL
23/04/24;1051.95;CCL
22/04/24;1058.46;CCL
19/04/24;1068.81;CCL
18/04/24;1065.74;CCL
17/04/24;1062.34;CCL
16/04/24;1270;CCL
15/04/24;1074.13;CCL
12/04/24;1047.36;CCL
11/04/24;1046;CCL
10/04/24;1045.49;CCL
09/04/24;1046.55;CCL
08/04/24;1034.67;CCL
05/04/24;1048.61;CCL
04/04/24;1052;CCL
03/04/24;1069.53;CCL
27/03/24;1080;CCL
26/03/24;1101.71;CCL
25/03/24;1079.64;CCL
22/03/24;1096.17;CCL
21/03/24;1097;CCL
20/03/24;1097.82;CCL
19/03/24;1085;CCL
18/03/24;1080.99;CCL
15/03/24;1067.97;CCL
14/03/24;1060.28;CCL
13/03/24;1053.42;CCL
12/03/24;1067.23;CCL
11/03/24;1021.75;CCL
08/03/24;1048.98;CCL
07/03/24;1029.27;CCL
06/03/24;1038;CCL
05/03/24;1051.24;CCL
04/03/24;1065.88;CCL
01/03/24;1089.95;CCL
29/02/24;1071.73;CCL
28/02/24;1100;CCL
27/02/24;1270;CCL
26/02/24;1098.25;CCL
23/02/24;1114.71;CCL
22/02/24;1094.85;CCL
21/02/24;1114.22;CCL
20/02/24;1125;CCL
19/02/24;1143.92;CCL
16/02/24;1270;CCL
15/02/24;1153.96;CCL
14/02/24;1283;CCL
09/02/24;1250;CCL
08/02/24;1246.57;CCL
07/02/24;1263.67;CCL
06/02/24;1249.42;CCL
05/02/24;1294.93;CCL
02/02/24;1288.36;CCL
01/02/24;1280.42;CCL
